query_id,answer
BHqkB8hyVBLYjeJk,4dc1349e573c5d55 cff075ddb5ecea8b 8834dddb19f784d8 e1b4eba97b8c5240 ea4b62cd245b9a77 9bbba29b77e9b1af 203bd20bd909376d 04a433604469adc8 f6cafc65bc477089 6ca646f31be2f88a e23e327b22211b7a fa8f3e2db701c980 6eb4a74791507649 6e28821e5a681b5a 3858c11ffaf2f474 9d0d9e73fb885f2d baea4f783c8f0a9e f7bd6c612e4dbe56 f7ed30d20f573f74 295f73ab7eb6cfd1 b4017e6e7d3fded8 edb71c4a334651b4 f4310a574a8537ff a56fd64b3ff5130f 1612cacde1600997 4524365f48ebcf8d 02041ecc093b5437 77591840de7e9360 c560fce1e1ff9623 d65259183543728f ef50c253de4b7247 955dada2f9842dcb 064b0cfbf9d27702 ad86467ee810f2d2 bbdcb85e9def7e9e 4782f6ce1955c834 0f312d86f2123213 e7ca5f3fe4c7223d 4ee895125d18b984 66b15d55d8e830e8 6f5894fe3efa9dc8 ba2b5290247dde5b b74966a4a4bda98f 706a7da9befff978 9e21b8e5a71a0ea0 51d552c85ee72a3f 86ed21b72a45fe76 b8592577c27ed8a3 0429a276b248c73d 67579f7cf6921658
dkPW1ez4OuJlKP6f,d358644b7d4cc307 bd5db5a85cb5d137 2dbb67933540e667 4bbb6cf166d6242d bbf504a6b1a049c6 3273767a2bb49d6b 6584cfa935839cf4 9f95f39e03a25ffe 0239f8a55c21711f 83b57f6e2fbe6cf0 fd88a4874a9d10d3 806d23a4615e5841 4ded79793f35192e dd4ec161e9a1fba6 f29cbfff2e995f80 2667db3b0a7ffc2a 829de623e3057ff4 cfbfd42debb34200 c59d6a728daa8d08 cd22f02d9b107f02 530b319de7efdbec e3710a3f7a8b6954 e1d193c5f64dfba7 57c78987b7b75804 1ac8a5b77e6a8c42 59e13b6f7c8b570a ab5b5ba8f1cb89be 08c03e3b1f19b3aa a234a719880fd744 b39e5854ab83559d ce7523dfe05215a7 7afa7486462f252c d16c6aad87b0dd06 1fbd8eabfdbd4e18 01346d7ab677a006 dcb69941ee189cfa c6a2cca92ccebbed 0379f593b36a1dd8 a8d8a9fd35ab86f4 297d7a16bcc23db9 15ddeecb930d4f8d 16895be7ba379e48 24dcada9402c5760 54e2af6d91225d71 a998b2daeafd171b 699589ba6a3ca762 da5876777de67e72 f5a84b4ef603a5f4 9bdfdcd2af8563de 73c885fffb81687f
QcN46alMOqpAE50I,f9075c5549063c63 a85baed12dcffac7 fae41dd969a99050 d3580e4f758a08a1 8d9c6c04212bf64b f5c0b6e975629ea7 9e999755929baf38 b9144f0619e1ae69 7b8e2acd7edb4ddc 0d1acb8159c9bae8 1e33b48ebfd2fc24 610bdd79153340d1 eba2cc8c8ecef336 eda2c60a89e63b56 e3ac4995f4cd476a 12a2f6af38d3966b 647754b1f68e08d5 f032343ce917a26f cf8b881b52188f2b b308d47410a46636 840845c4fe9ba442 a6fa0c2925fd4270 10339996143c51c6 54f9fd5755051f69 521c5ed0ee830d63 9591c3a5933d9004 c207062ef3be9dba 508c14edc426160f dc6ee1f616ce65ec ddd76295790c84cb d02230fe7148d272 456bdc30fcccd915 432f3840124d7a4c 1f8ea6168f1bddb3 5aff8fb56d40b668 d73aed04c5336798 0659758c301fc26c 89d5e4a102328b0a a4632d007716798d 2f1840882a9e87b9 b6315e884b64f8f8 26388583fe42b87f dc5c41f895bc2404 cfd1607c20a6042d 3a36b1087b6fbeae d272dd86b23f44a6 55964971af6b449d 14ebba70f442932c a39f34e0bc48d1c8 929f0136af086835
Q4BzK1C2QbMpWats,671ec869f80e7688 841b9ab0f8027e7a 20e2792b14789745 d7dee04803e8d990 811ef25ecf305ae1 7cc855258cf6ed7e 5c42e75509da8ef4 453636b090c3d49d 0471c8f2cd3fe2f3 67c7c49bfaab55f5 a0c0ef62c80c3510 167627f1ca07c2f6 efb884a729e258b4 97dc61e01a914a8e 9be59b6411cf11cc 67c769c0188cee26 c913a66658074d96 93b8d7b11253295e c606ee82ee3aea6d ce6223ec03da1d47 08c8ec546c71428a 7d85212d723de304 d264956dc7321e3b c302a84c719de657 4acd13afc12253bd 935a7a8c18a23101 56533898833f7c7f fdafca8b9e0bbca3 7190fdbcdcc5dbe5 4acb33166aefd7db 236a3e09dc3b0216 110a360b8eedec78 59576423fe00e3b2 ff2e69fbdcc41915 09d68fe87040bd5d 92bc52f8a4737d9b c5b355d18f2397b6 7672d44f8e047473 d6dadbc9b22b659c c0d26133a251808b 7371e8390457dd94 0d8d033f107bbb3b 4d77637bf85a10bc f1c646d47e8e9f76 84652032a2040d61 4521030395d5682f 7b7cf1a0d94a0bd7 95c5bd6846ba1667 39dc59fbf4588e25 3de74ba9eb500ed8
94UtW5eRuV3rcDEO,3c20d09240795139 73e0995ef4d2145f 524274c2d227d660 61dcb2a462e54b70 72400063523b73ef cdd9f749958d3f82 bf121ca8e63ea494 1ac8500f7b56b63a 4729f8de96814711 89ce608eb7222ea7 5d552370ba268cbf 0bc88004234a9cb7 534bcf271df0cce8 ab18ad965eb4d116 6a6e82769b7332e7 a259ae9fc0b6bbb3 035a00c2e4b35638 e5bc02db43de45f2 d0b938367771f05f 81390f180a3e4b59 24a5329bf1f3ae50 a0f60cd9dd6cdc83 85cd9944e22aeb00 831d8cb23ccb18d8 8dcad15f183e955d 18f8a8c0a70721a4 6fabf64c0905fc3a f4b13bcd2a3e6ca3 3fd18566cbe60242 8e0d2243778da203 03421f16054e66d8 f3ee2e987e7097bd 2107710c19cbf174 a91f698bc47afc1e 34d60400605d36fd 99c5b6e7d2f3a4f1 414d5d20f42c1c6e 901247d9c4e558e4 603a344335443ca6 685218bb0c175119 47dc2811d1587ecf a695777bb7344227 746b4bf30e7c91e8 e5ac544203bcdc59 a8b0ce6a110be36a 54b29f6e0bb450e1 b8305edd18039805 705feaf6dc459576 ec5b4ff09452de6d 177f2980442acf93
6dYxIAlZOriT6SHH,a4fb1fc05743e013 9ee2b11a31a70cf5 8d8024054828e9be 2aed19e73962d863 b5e26b462b1aef93 65c405ebfb147129 974542c247cafa42 90b3f8b06894c1b6 8218df0a3a3748b8 d2b9491fc7a439cc 3dca7ae07ecdb386 a50929967895f818 9e220e973eb16cea c90b018b9116a632 b0b86882f0584d34 0af686fb84b9b92f 3edf9ee666855377 040538f9a0254a99 b2cc1ae244c6b85f e9e1e3c16e984182 fd66068dd6ea25e9 5cad0ac6e995c630 e2a5b929bae99d57 e289cd35cb30f3c5 e220acd7df81a59e 33bbaad367e21213 5b626abedfd9f773 8a25c667dcca8b38 a1f89a5af43b9a19 e5b8300d9192bf16 919784e4592095bc 4a87e6a489365340 e0b2c025293f7146 1f83788a1b0e2ef3 421cdf966421ab9c 616137eeb40fbedc c3e4df719264dbd2 2b3101c8c27629d8 6f7ac81ef73a5837 da7dc4d297aef6eb 499dd4001927626e ad17e496eca1e630 44437ff89a4a7e8d e4f4474a850b5181 2fa17df221fb716f 512d9e0e2120c8e7 d4783a62836e00e7 ae3f997824637a12 a9748aff65aee012 66fcfff959aef409
moFmX6XQY5SEz9hU,82f926548c7954ca 8c799d14e83743da c38eaca8f33609a0 73b16cf21683dd53 d0e4967dfe1101db 9879311b1681e073 df54b3f7497d69ed e2613b0dab30d6f3 2ac8f3a653a3eaf5 f82a20b60a8188cf 2c10106b045062c9 beaa3cdf9e479a53 20277fdaf89ff58f f5de2ec16f211a23 1c7fb1eb5fa9f23f cfcecefd6ef84b55 bf66c5bde034e509 7ae695888df7bea3 430bef5508127742 445eec11e8ccda32 c65e1b569a7c5d39 36eff9b9a7e29644 e239892c841076a4 05d2cd5f312fb219 ca4f1545aae9664c e15ec8d2e5920abd f338dc60ed5fa61b 63229d195b66275b 8cb482057f19610a 1ef1095c660edeb9 1f6304600d5c0a9a 023325483bcacaab 920f37ddeba21964 bbdf1474f630da80 f5e19787cf7437ac 5f0af11c55c93f37 d8b1981ed6e55190 84653afed4262adb ff8c83488b07936e 496250c292cccfa5 beaef36ca593f7e7 65585282428f964e cfd4e8ec17e1fde3 59dc3da62ce75b1f 44a910d6a4df07b3 4cfc593063028506 8072b39070400687 d8fc9aa53ec5b0fc 1e24a2caf7db8d2f aa2fe68ebc7f17ce
R66chaldEN0epFjt,5645052abdec64ee 0fc323ba42b4e297 ed7535b081298136 d85ac15a3fb338cd 99504a447db7c9e4 2e3ea7cf3cac3fef 4993b7b3b23b3b00 58c60077ba4e94e9 d2145b5a6a212de4 4777f74124804636 bdfce93504afe108 d7c119f222db17c3 7affd05a2c12258b b50670570ac8e4e2 a5277260dbfa8ab2 9eb9353faee10068 469ae58216eb9d1e d138402d61cb886c 77317e8991a6f510 ec502220d6918e9e 5b15bef5cf8cf7ba fb08e8511ced9f8a a2e6a3ba6d58714b 2d353626c1997a93 067156ed3c92455c 7379d81892fb8ef9 c24ce13d01895854 c30402d9862cdc7c 2bd33044d79aa561 c6f6d13ccf5e1527 006b9e0de279c1bc bb33e6c78f0ce27f badf760f7f5d0b77 45c28fd6260b744b 946839f6910b18cf d41065d9eddc5583 8fbc865defa1dc9e 69fcee637df221af 69b6564d0c7ec4e0 92ed32df3152254f b65b43e4addfb8a1 e50b8f09af12084d fad350ff33deeca7 6f6c36575d8e3a5e c7c36cce492b4cc1 4ed60a213448e787 ab19e4c56e5e5f57 48fb9b26f3ab9085 bad1d10aecb05bca 4d8de295c89f1532
LeWIzjoTRN8saOxg,0b7c0b04d3858dae 5ca4d12a7066a061 c9ec99ffcef43ebb a97a60e0b0c7371c 306a6fcc24b3c9bf 59ad84f75ee98b4c bd2296ed4cea9659 6094c5b0a8227850 b495056ef40d11d9 b351b2435b10dde2 0fbe3bf393bd7462 3086070c012c8e23 b02d4ff96e1d8eac d400282b720cc795 ff62e9f24bca34c4 c288d0798a4b5a66 0aa4988f7527044f ce412ba63a3567e1 3c47580490bd2bed a4c4f780d720ea71 236cfc946d46f64b 8e7e64c30f92b48b 74d109ec13995ce9 c0dfe8e3e9c7d31d dc5e6c841fe80b8f 6129b43b7272730a 21d795ce5d12a1a7 6a1402ef66bbdd4d 6557cc5d11d0fbf7 6edf6b69fecf5fb6 0fdacb5f72a4b0e3 adcdff6300cac5e8 0904dcce0360d5b6 74012473ecb6f929 db380030381b69ae f838a0b7f0e285ad ce8aab5622babae1 e5bd0eef9b7217a3 4c4a9f35845839ad 895edd88616e4377 ca8a71860b6dc037 132b0768a0afd84c d8be0c4f61bbdf49 7b4d000e3512464b a61d9e2f5b5e5f96 8421ff26b05eda7a 1ff9effffcf8f975 665d2374959e53aa beab6365906ad153 9ec1e2f55fd9e653
YeC06bC3Bws9SfaN,1be7ea3abede7e51 036e1bb4542de152 ba1fb4d81b08a975 15d6c65ea742a8ff 2077e588b04a1f3e eafb0d921301d2fb 9f0991316bd710b5 075f0e435e410bb6 c693679ec1d0ffb5 33e603bb72cd311c 27d6424908ffbd80 73ec7717c33a0bc8 0d14050b90c7539f fe8e329cb658167d 30e7e1e25f454abd cf76823d50532023 731d59964ef422c9 44c3a0c85aafb858 c0da89b71d346050 fbe6b7849d900243 8619ed6f1b398034 afb8b4857b9e782e 6331e804af6e98a8 2525ca99d43fe87d 5611834f5684ddb8 c518220aeab7ac77 d477d2c2fbc0622f 87b998f28543e69d 72c62cfa1f6bed83 21f10bf31b81eeeb a5b8d17d272f2c30 2e6b2ddb57c3677b 011f251f80bb7b8d 1233bbfc69d0f172 516023a085a94273 e95f452bb6921b0c a1a498e8749acd54 c373c7f8eac0e77e 573ea9f814b7726b a37a0732f12a870a 1c1e203688f6f5b6 e3ac22ed35f2faeb b7cff526d5e4ba06 0845b2260ca3ad7e 58c60077ba4e94e9 20af0e76e34fbf29 c453e04543b05518 82e35089f3d81710 36a2c825d08dc29a 51fd957473e45f5d
Mkw7pexvDmMpFdzO,57ff6765aa00ff0b 1a44807b50a25d5d 6b616bde25aca76f 7bdcb5ab5b663cae 2112b73c26b8043f 83725951858328f7 92dedd578ad31740 db4bbbc20cecbb59 97895d0e01430afd 3dd5f7dbeb3fa3f3 ce1965850e038a5b 8ef378dd9209e56f b4522af9085468c8 f88c981aaccd877e a0a387ce1ac24b84 54f4b4f894fec8c6 7fd04e317e235c89 f2d0a35333fe0d2a bfd90d86d2d62902 bcef0e8ac0930e5d 39f6da7bac4fafa6 2f6d35e4d0253d51 6ec72a27d05b1f0b 0b9f31a6f8d314c8 f654e60dd0a22b96 c5f890bc7cd1c143 6463ae8b7fde6e8c f579f71f09f57153 3afe50547849241d d043d46ead9f9b27 3c018adcab006d98 b3ceebda4a1e38a5 e538345e5e912203 f6a068307a2fe1e3 beafd9161d32b17a 20105a216100f22a 018045edaa5a3577 7d58256f7dd41698 ff9142f8fb530b5c f2dedc89058ee61f 2b265f069e479e13 a88ceb8d1f7b8d0a 1d81c644a60964c9 abca1876a62078b6 1338bbb0d341be43 0299eac32181bbf3 b6b6227f2a5f0d01 06ab291104eb4689 735b97956474c575 5c4a3a78d40e57d7
M1yUaCX37j5UCE6M,8fa7b4c1988a2c6e 55f8ece9056e50f8 fe8113c31dd663d5 1417f9615d7d4209 1b63c0257f6bbffb 69b23aa6257b66ea c95b0e54afa46cf1 35b0ae8da97bbbbb 051d2861e217e7c4 5508ebe97dec3a2f 0fbba4484e5590fb 2543cfa43fa54f0a 10b283285b9899da 7127da7f3cdc1aec 492152186018d6f0 ef72179daa448367 4e431c9ab03fee8e fc384d140cf0de2b e47b20ed07d263c4 da0012e0276ed2d6 e466cbf8dff593f5 d3afc8bbda96499f ed349ab591f3dae5 1e0a2c2914a2e33f 230d8cd244ed2b79 41774d8bfaa8cfdb 8c5aec51c1d380ad 569983fc09604de2 ecc0c384cfc32e9c 1a0aac9a89c5233b cc25e7b75c1583d9 753cd0778189c1d5 261934844042c41a 1bad463119bbf395 901d09ae39e8ebeb 0d8916d9cc5e86e6 3359c3b36966a5ce e39917ebf3a91cac 6c0f3ee7f653fc3a dd7cf0a536ef2d77 e0a31167fbdcdb35 19e97cb3a030a511 f8714856eaff32ef 8e380fe0b38c77a3 174ae15d0d98ab0e 130c140687d82aaf 24cc125e26c39574 08e0e4963dd87c4e 212f0428d1a46b8b f1851cf6327922db
qICpl1nghlMbD1sQ,f86a9d1243df3b56 477469f3115b08d6 6879876d12974c1c ac617518d4284659 ce20efd3b3ec13e9 aefe55faed746945 63447e9f5112b16a f280973a921fd92e 2e23bcf9c38f13bb 8994864c3918ec46 6a6f8bcc048784fe b1292880b5ab0ff5 4924e75820802288 99a31d9e5bd6eda8 a73ba561da46c93b 02b8a88d1e2870b3 0be4cf5cdb25e19a bfc004f3b904cb6d e941a84954302df9 3be737583cbcb0af 5c82e260f0f571dd 37f255682546b303 36ca8b412025a827 e8b75e53d19a2185 e69c0e48e6d6663a 349781785b2766fe 9f9551a0e331fa2e 92d123b6acc6beed e3d8b8ea9c3a2a72 6fbc07917bbdaab5 312f5a8591b6d8cd c067131949d2ef56 4fca1c39ef40c513 32bb8de3458bada2 a5526b66afbaff6a cbe4a74f3d47dc36 88935e2b4ca73f47 6a9b6c5dac7f8681 54b95e75a2a9a466 3abe26891ca22be7 31a3fde52d1d4246 801b34f2dd5494ad 71763e026da1773b 765fb77b9984c034 13042035f041ca90 167655a3fca9fae2 7e6826a2bdeff5a9 82edabfb3f0ee638 1d9cf7f8484882bf e17213d58c08488a
